id,country,number,durnation
1,阿尔巴尼亚,71,0
2,阿尔及利亚,19,0
3,阿富汗,26,0
4,阿根廷,5,0
5,阿曼,1,0
6,阿塞拜疆,1,0
7,埃及,18,0
8,埃塞俄比亚,6,0
9,安哥拉,1,0
10,奥地利,6,0
11,澳大利亚,6,0
12,巴布亚新几内亚,4,0
13,巴基斯坦,24,0
14,巴勒斯坦,1,0
15,巴西,2,0
16,保加利亚,45,0
17,贝宁,3,0
18,比利时,5,0
19,冰岛,1,0
20,波兰,65,0
21,博茨瓦纳,2,0
22,不丹,2,0
23,布隆迪,2,0
24,朝鲜,89,0
25,赤道几内亚,5,0
26,丹麦,11,0
27,德意志联邦共和国,18,0
28,德意志民主共和国,45,0
29,多哥,3,0
30,厄立特里亚,1,0
31,法国,16,0
32,菲律宾,7,0
33,斐济,1,0
34,芬兰,39,0
35,佛得角,5,0
36,冈比亚,4,0
37,刚果（布）,5,0
38,刚果（金）,9,0
39,根西岛,1,0
40,古巴,22,0
41,圭亚那,4,0
42,荷兰,4,0
43,基里巴斯,1,0
44,吉尔吉斯斯坦,7,0
45,几内亚,33,0
46,几内亚比绍,5,0
47,加拿大,6,0
48,加纳,20,0
49,加蓬,6,0
50,柬埔寨,32,0
51,捷克,1,0
52,捷克斯洛伐克,4,0
53,喀麦隆,1,0
54,科摩罗,3,0
55,科威特,3,0
56,肯尼亚,2,0
57,库克群岛,1,0
58,老挝,14,0
59,黎巴嫩,4,0
60,利比里亚,7,0
61,利比亚,3,0
62,卢森堡,1,0
63,卢旺达,3,0
64,罗马尼亚,85,0
65,马达加斯加,4,0
66,马恩岛,1,0
67,马尔代夫,1,0
68,马耳他,3,0
69,马来西亚,1,0
70,马里,14,0
71,毛里求斯,1,0
72,毛里塔尼亚,9,0
73,美国,6,0
74,蒙古,49,0
75,孟加拉,10,0
76,秘鲁,4,0
77,缅甸,38,0
78,摩洛哥,8,0
79,莫桑比克,8,0
80,墨西哥,8,0
81,南非,1,0
82,南斯拉夫,3,0
83,尼泊尔,28,0
84,尼日尔,5,0
85,尼日利亚,5,0
86,挪威,7,0
87,葡萄牙,1,0
88,日本,54,0
89,瑞典,7,0
90,瑞士,4,0
91,萨摩亚,2,0
92,塞拉利昂,1,0
93,塞内加尔,3,0
94,塞浦路斯,6,0
95,塞舌尔,2,0
96,圣多美和普林西比,5,0
97,斯里兰卡,44,0
98,苏丹,20,0
99,苏里南,1,0
100,苏联,62,0
101,索马里,12,0
102,塔吉克斯坦,2,0
103,泰国,6,0
104,坦桑尼亚,8,0
105,特立尼达和多巴哥,2,0
106,突尼斯,9,0
107,土耳其,4,0
108,土库曼斯坦,6,0
109,委内瑞拉,1,0
110,西班牙,6,0
111,希腊,7,0
112,新加坡,2,0
113,新西兰,3,0
114,匈牙利,69,0
115,叙利亚,12,0
116,牙买加,4,0
117,也门,17,0
118,伊拉克,12,0
119,伊朗,4,0
120,意大利,10,0
121,印度,12,0
122,印度尼西亚,20,0
123,英国,7,0
124,约旦,1,0
125,越南,141,0
126,赞比亚,2,0
127,乍得,5,0
128,智利,6,0
129,中非,4,0
130,阿尔巴尼亚,23,1
131,阿尔及利亚,36,1
132,阿富汗,8,1
133,阿根廷,37,1
134,阿联酋,14,1
135,阿曼,11,1
136,阿塞拜疆,24,1
137,埃及,43,1
138,埃塞俄比亚,36,1
139,爱尔兰,11,1
140,爱沙尼亚,17,1
141,安道尔,1,1
142,安哥拉,15,1
143,安提瓜和巴布达,2,1
144,奥地利,21,1
145,澳大利亚,62,1
146,澳大利亚、新西兰,1,1
147,巴巴多斯,6,1
148,巴布亚新几内亚,11,1
149,巴哈马,8,1
150,巴基斯坦,70,1
151,巴林,13,1
152,巴拿马,2,1
153,巴西,51,1
154,白俄罗斯,40,1
155,百慕大群岛,2,1
156,保加利亚,51,1
157,贝宁,26,1
158,比利时,22,1
159,冰岛,13,1
160,波兰,54,1
161,波斯尼亚和黑塞哥维那,10,1
162,玻利维亚,12,1
163,伯利兹,1,1
164,博茨瓦纳,19,1
165,不丹,1,1
166,布基纳法索,9,1
167,布隆迪,9,1
168,朝鲜,59,1
169,朝鲜；苏联,1,1
170,赤道几内亚,16,1
171,丹麦,18,1
172,德意志联邦共和国,85,1
173,德意志民主共和国,10,1
174,东帝汶,4,1
175,多哥,15,1
176,多米尼加,2,1
177,多米尼克,2,1
178,俄罗斯,179,1
179,厄瓜多尔,19,1
180,厄立特里亚,12,1
181,法国,82,1
182,菲律宾,49,1
183,斐济,10,1
184,芬兰,29,1
185,佛得角,16,1
186,冈比亚,12,1
187,刚果（布）,31,1
188,刚果（金）,16,1
189,哥伦比亚,21,1
190,哥斯达黎加,9,1
191,格林纳达,5,1
192,格鲁吉亚,19,1
193,根西岛,1,1
194,古巴,54,1
195,圭亚那,14,1
196,哈萨克斯坦,80,1
197,哈萨克斯坦共和国；吉尔吉斯共和；俄罗斯联邦；塔吉克斯坦共和国,1,1
198,韩国,60,1
199,韩国、日本,1,1
200,荷兰,28,1
201,黑山,4,1
202,基里巴斯,2,1
203,吉布提,23,1
204,吉尔吉斯斯坦,40,1
205,几内亚,28,1
206,几内亚比绍,16,1
207,加拿大,59,1
208,加纳,17,1
209,加蓬,21,1
210,柬埔寨,19,1
211,捷克,14,1
212,捷克斯洛伐克,9,1
213,津巴布韦,25,1
214,喀麦隆,26,1
215,卡塔尔,9,1
216,开曼群岛,1,1
217,科摩罗,11,1
218,科特迪瓦,11,1
219,科威特,48,1
220,克罗地亚,23,1
221,肯尼亚,13,1
222,库克群岛,1,1
223,拉脱维亚,19,1
224,莱索托,14,1
225,老挝,41,1
226,黎巴嫩,8,1
227,立陶宛,19,1
228,利比里亚,9,1
229,利比亚,10,1
230,列支敦士登,3,1
231,卢森堡,10,1
232,卢旺达,18,1
233,罗马尼亚,69,1
234,马达加斯加,20,1
235,马尔代夫,10,1
236,马耳他,24,1
237,马拉维,2,1
238,马来西亚,32,1
239,马里,26,1
240,马其顿,15,1
241,马绍尔群岛,7,1
242,毛里求斯,21,1
243,毛里塔尼亚,20,1
244,美国,133,1
245,蒙古,63,1
246,孟加拉,31,1
247,秘鲁,35,1
248,密克罗尼西亚,4,1
249,缅甸,31,1
250,摩尔多瓦,25,1
251,摩洛哥,32,1
252,摩纳哥,1,1
253,莫桑比克,25,1
254,墨西哥,37,1
255,纳米比亚,19,1
256,南非,36,1
257,南斯拉夫,11,1
258,南苏丹,2,1
259,瑙鲁,1,1
260,尼泊尔,28,1
261,尼加拉瓜,4,1
262,尼日尔,20,1
263,尼日利亚,25,1
264,纽埃,1,1
265,挪威,15,1
266,葡萄牙,29,1
267,日本,87,1
268,瑞典,21,1
269,瑞士,21,1
270,萨摩亚,8,1
271,塞尔维亚,13,1
272,塞拉利昂,19,1
273,塞内加尔,20,1
274,塞浦路斯,19,1
275,塞舌尔,20,1
276,沙特阿拉伯,20,1
277,圣多美和普林西比,11,1
278,圣基茨和尼维斯联邦,1,1
279,圣马力诺,5,1
280,斯里兰卡,28,1
281,斯洛伐克,17,1
282,斯洛文尼亚,18,1
283,苏丹,48,1
284,苏里南,7,1
285,苏联,48,1
286,索马里,7,1
287,塔吉克斯坦,28,1
288,泰国,47,1
289,坦噶尼喀,1,1
290,坦桑尼亚,43,1
291,汤加,4,1
292,特立尼达和多巴哥,7,1
293,突尼斯,41,1
294,土耳其,42,1
295,土库曼斯坦,22,1
296,瓦努阿图,8,1
297,委内瑞拉,26,1
298,文莱,12,1
299,乌干达,22,1
300,乌克兰,46,1
301,乌拉圭,23,1
302,乌兹别克斯坦,39,1
303,西班牙,29,1
304,希腊,24,1
305,新加坡,38,1
306,新西兰,32,1
307,匈牙利,60,1
308,叙利亚,12,1
309,牙买加,8,1
310,亚美尼亚,21,1
311,也门,50,1
312,伊拉克,18,1
313,伊朗,34,1
314,以色列,27,1
315,意大利,44,1
316,印度,63,1
317,印度尼西亚,35,1
318,英国,63,1
319,英属维尔京群岛,2,1
320,约旦,20,1
321,越南,74,1
322,赞比亚,26,1
323,泽西岛,2,1
324,乍得,11,1
325,智利,38,1
326,中非,24,1
