district,datascore_2017,length_internet_2017,pop_eduction
安徽,4.63,128818.22,2250
北京,1.04,212392.86,5300
福建,1.48,104750.97,2352
甘肃,4.68,15975.45,2217
广东,1.04,133800.75,2454
广西,3.85,46334.27,2383
贵州,4.78,49214.34,2129
海南,3.03,68638.82,2261
河北,3.77,91340.77,2328
河南,3.81,104858.24,2455
黑龙江,2.97,22906.77,2403
湖北,2.82,76457.8,3000
湖南,3.78,89614.68,2419
吉林,2.97,22932.5,3038
江苏,1.16,316609.29,3045
江西,4.65,92265.03,2676
辽宁,2.81,80492.49,2859
内蒙古,3.67,8331.12,1969
宁夏,4.61,29912.2,2278
青海,4.59,2912.48,1391
山东,2.76,136321.51,2519
山西,3.03,68442.58,2401
陕西,2.97,52857.24,3582
上海,0.81,925196.76,3498
四川,3.81,52058.36,2339
天津,2.01,181144.57,4072
西藏,4.79,1319.85,1678
新疆,4.75,5333.39,1863
云南,4.75,28397.76,1999
浙江,1.05,272243.04,2345
重庆,3.67,113083.48,3084
